!GEAR.DAT - Gear data file - JW 960204 (Update from PM 960201)
!-------------------------------------------------------------
!A Few Notes:
!This file is an update of Paolo's Gear.Dat file, to include nearly all gear and
!other stuff I could find in various sourcebooks, both FASA-published and from
!the net. A small number of things are still omitted mainly because I just couldn't
!get myself to do absolutely _everything_ :) I added another category to the
!firearms, to show which accessories are included off-the-shelf with each weapon.
!Also, the cyberdecks and related equipment have *not* been updated to VR 2.0
!standards (yet).
!                                                                       -Gurth
! Types:
!-------
0-1|Edged weapon|7|Concealability|Reach|Damage|Weight|Availability|$Cost|Street Index|
0-2|Bow and crossbow|7|Concealability|Str.Min.|Damage|Weight|Availability|$Cost|Street Index|
0-3|Firearms|9|Concealability|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|Accessories|
0-4|Rockets and Missiles|6|Intelligence|Damage|Weight|Availability|$Cost|Street Index|
0-5|Ammunition|6|Concealability|Damage|Weight|Availability|$Cost|Street Index|
0-6|Firearms Accessories|7|Mount|Concealability|Rating|Weight|Availability|$Cost|Street Index|
0-7|Explosives|6|Concealability|Rating|Weight|Availability|$Cost|Street Index|
0-8|Clothing and Armor|7|Concealability|Ballistic|Impact|Weight|Availability|$Cost|Street Index|
0-9|S+S Vision Enhancers|6|Concealability|Magnification|Weight|Availability|$Cost|Street Index|
0-10|Surveillance and Security|5|Concealability|Weight|Availability|$Cost|Street Index|
0-11|Cyberdecks|9|Persona|Hardening|Memory|Storage|Load|I/O|Availability|$Cost|Street Index|
0-12|Cyberdeck Other|3|Availability|$Cost|Street Index|
0-13|Biotech|5|Rating|Availability|Weight|$Cost|Street Index|
0-14|Lifestyle|5|Concealability|Weight|Availability|$Cost|Street Index|
0-15|Magical Equipment|3|Availability|$Cost|Street Index|
0-16|Extras|1|$Cost|
0-17|Cars|9|Handling|Speed|Body|Armor|Sig|Apilot|Availability|$Cost|Street Index|
0-18|Vehiclegear|3|Availability|$Cost|Street Index|
0-19|VehicleFire|8|Type|Ammunition|Mode|Damage|Weight|Availability|$Cost|Street Index|
0-20|Chips|6|Type|Rating|Memory|Availability|$Cost|Street Index|
0-21|Stuff With Ratings|6|Concealability|Rating|Weight|Availability|$Cost|Street Index|
0-22|Drugs|6|Addiction|Tolerance|Strength|Availability|$Cost|Street Index|
0-23|Vehicle modifications|3|$Cost|Equipment|CF|
!--------------------------------------------------------------------------------
!   1234567890123456789012345678901234567890123
1-Weapons
2-Melee weapons
3-Edged weapons
4-* Ares Monosword                 1|3|1|(STR+3)M|2|4/24hrs|1000|1|
4-* Shotgun Microphone Lv 4        10|5|1|4/36hrs|4000|1|
4-* Shotgun Microphone Lv 5        10|5|1|5/36hrs|5000|1|
4-* Shotgun Microphone Lv 6        10|5|1|6/36hrs|6000|1|
4-* Shotgun Microphone Lv 7        10|5|1|7/36hrs|7000|1|
4-* Shotgun Microphone Lv 8        10|5|1|8/36hrs|8000|1|
4-* Shotgun Microphone Lv 9        10|5|1|9/36hrs|9000|1|
4-* Shotgun Microphone Lv 10       10|5|1|10/36hrs|10000|1|
3-Signal locators
4-* Signal Locator Lv 1            10|3|2|1/48hrs|1000|1.5|
4-* Signal Locator Lv 2            10|3|2|2/48hrs|2000|1.5|
4-* Signal Locator Lv 3            10|3|2|3/48hrs|3000|1.5|
4-* Signal Locator Lv 4            10|3|2|4/48hrs|4000|1.5|
4-* Signal Locator Lv 5            10|3|2|5/48hrs|5000|1.5|
4-* Signal Locator Lv 6            10|3|2|6/48hrs|6000|1.5|
4-* Signal Locator Lv 7            10|3|2|7/48hrs|7000|1.5|
4-* Signal Locator Lv 8            10|3|2|8/48hrs|8000|1.5|
4-* Signal Locator Lv 9            10|3|2|9/48hrs|9000|1.5|
4-* Signal Locator Lv 10           10|3|2|10/48hrs|10000|1.5|
3-Tracking signals
4-* Limpet Beacon                  21|8|-1|-|8/6days|250|1.2|
4-* Tracking Signal Lv 1           10|3|-|1/72hrs|300|2|
4-* Tracking Signal Lv 2           10|4|-|2/72hrs|400|2|
4-* Tracking Signal Lv 3           10|5|-|3/72hrs|500|2|
4-* Tracking Signal Lv 4           10|6|-|4/72hrs|600|2|
4-* Tracking Signal Lv 5           10|7|-|5/72hrs|700|2|
4-* Tracking Signal Lv 6           10|8|-|6/72hrs|800|2|
4-* Tracking Signal Lv 7           10|9|-|7/72hrs|900|2|
4-* Tracking Signal Lv 8           10|10|-|8/72hrs|1000|2|
4-* Tracking Signal Lv 9           10|11|-|9/72hrs|1100|2|
4-* Tracking Signal Lv 10          10|12|-|10/72hrs|1200|2|
3-Voice identifier
4-* Voice Identifier Lv 1          10|2|5|1/72hrs|2000|2|
4-* Voice Identifier Lv 2          10|2|5|2/72hrs|4000|2|
4-* Voice Identifier Lv 3          10|2|5|3/72hrs|6000|2|
4-* Voice Identifier Lv 4          10|2|5|4/72hrs|8000|2|
4-* Voice Identifier Lv 5          10|2|5|5/72hrs|10000|2|
4-* Voice Identifier Lv 6          10|2|5|6/72hrs|12000|2|
4-* Voice Identifier Lv 7          10|2|5|7/72hrs|14000|2|
4-* Voice Identifier Lv 8          10|2|5|8/72hrs|16000|2|
4-* Voice Identifier Lv 9          10|2|5|9/72hrs|18000|2|
4-* Voice Identifier Lv 10         10|2|5|10/72hrs|20000|2|
3-Portable security lighting
4-* Low-wattage Flashlight         10|-|-|always|10|1|
4-* Low-wattage Gun-Flashlight     10|-|-|2/24hrs|100|1|
4-* Low-wattage Floodlight         10|-|-|always|150|1|
4-* Active Infrared Flashlight     10|-|-|4/48hrs|100|2|
4-* Active Infrared Gun-Flashlight 10|-|-|6/48hrs|250|2|
4-* Active Infrared Floodlight     10|-|-|5/48hrs|350|2|
4-* Ultraviolet Flashlight         10|-|-|4/4days|200|2|
4-* Ultraviolet Gun-Flashlight     10|-|-|6/4days|500|2|
4-* Ultraviolet Floodlight         10|-|-|8/4days|750|2|
2-Surveillance countermeasures
3-Bug scanners
4-* Bug Scanner Lv 1               10|3|1|1/48hrs|500|1.5|
4-* Bug Scanner Lv 2               10|3|1|2/48hrs|1000|1.5|
4-* Bug Scanner Lv 3               10|3|1|3/48hrs|1500|1.5|
4-* Bug Scanner Lv 4               10|3|1|4/48hrs|2000|1.5|
4-* Bug Scanner Lv 5               10|3|1|5/48hrs|2500|1.5|
4-* Bug Scanner Lv 6               10|3|1|6/48hrs|3000|1.5|
4-* Bug Scanner Lv 7               10|3|1|7/48hrs|3500|1.5|
4-* Bug Scanner Lv 8               10|3|1|8/48hrs|4000|1.5|
4-* Bug Scanner Lv 9               10|3|1|9/48hrs|4500|1.5|
4-* Bug Scanner Lv 10              10|3|1|10/48hrs|5000|1.5|
4-* Line Tap Detector              21|7|1|-|4/24hrs|60|.8|
3-Chemical analyzers
4-* Chemical Analyzer Lvl 1        21|5|1|.5|4/5days|10000|1|
4-* Chemical Analyzer Lvl 2        21|5|2|.5|4/5days|12500|1|
4-* Chemical Analyzer Lvl 3        21|5|3|.5|4/5days|15000|1|
4-* Chemical Analyzer Lvl 4        21|5|4|.5|4/5days|17500|1|
4-* Chemical Analyzer Lvl 5        21|5|5|.5|4/5days|20000|1|
4-* Chemical Analyzer Lvl 6        21|5|6|.5|4/5days|22500|1|
4-* Chemical Detection System 1    21|3|1|1|12/6 days|70000|1.25|
4-* Chemical Detection System 2    21|3|2|1|12/6 days|140000|1.25|
4-* Chemical Detection System 3    21|3|3|1|12/6 days|210000|1.25|
4-* Gas Detector Lvl 1             21|4|1|.5|3/7days|5000|2|
4-* Gas Detector Lvl 2             21|4|2|.5|6/7days|20000|2|
4-* Gas Detector Lvl 3             21|4|3|.5|9/7days|45000|2|
4-* Gas Detector Lvl 4             21|4|4|.5|12/7days|80000|2|
4-* Gas Detector Lvl 5             21|4|5|.5|15/7days|125000|2|
4-* Gas Detector Lvl 6             21|4|6|.5|18/7days|180000|2|
4-* Gas Spectrometer Lvl 1         21|5|1|.5|4/5days|10000|1|
4-* Gas Spectrometer Lvl 2         21|5|2|.5|4/5days|12500|1|
4-* Gas Spectrometer Lvl 3         21|5|3|.5|4/5days|15000|1|
4-* Gas Spectrometer Lvl 4         21|5|4|.5|4/5days|17500|1|
4-* Gas Spectrometer Lvl 5         21|5|5|.5|4/5days|20000|1|
4-* Gas Spectrometer Lvl 6         21|5|6|.5|4/5days|22500|1|
3-Data encryption systems
4-* Arasaka ECM Comm-Scrambler     21|4|6|1|6/36hrs|30000|1.2|
4-* Data Encryption System Lv 1    21|2|1|6|1/14days|1000|2|
4-* Data Encryption System Lv 2    21|2|2|6|2/14days|2000|2|
4-* Data Encryption System Lv 3    21|2|3|6|3/14days|3000|2|
4-* Data Encryption System Lv 4    21|2|4|6|4/14days|4000|2|
4-* Data Encryption System Lv 5    21|2|5|6|5/14days|5000|2|
4-* Data Encryption System Lv 6    21|2|6|6|6/14days|6000|2|
4-* Data Encryption System Lv 7    21|2|7|6|7/14days|7000|2|
4-* Data Encryption System Lv 8    21|2|8|6|8/14days|8000|2|
4-* Data Encryption System Lv 9    21|2|9|6|9/14days|9000|2|
4-* Data Encryption System Lv 10   21|2|10|6|10/14days|10000|2|
4-* Radio Scrambler Level 1        21|-|1|-|5/24hrs|1000|1|
4-* Radio Scrambler Level 2        21|-|2|-|5/24hrs|2000|1|
4-* Radio Scrambler Level 3        21|-|3|-|5/24hrs|3000|1|
4-* Radio Scrambler Level 4        21|-|4|-|5/24hrs|4000|1|
4-* Radio Scrambler Level 5        21|-|5|-|5/24hrs|10000|1.25|
4-* Radio Scrambler Level 6        21|-|6|-|5/24hrs|12000|1.25|
4-* Radio Scrambler Level 7        21|-|7|-|5/24hrs|14000|1.25|
4-* Radio Scrambler Level 8        21|-|8|-|6/36hrs|24000|1.5|
4-* Radio Scrambler Level 9        21|-|9|-|6/36hrs|27000|1.5|
4-* Radio Scrambler Level 10       21|-|10|-|8/36hrs|50000|1.25|
3-Dataline Scanner
4-* Dataline Scanner Lv 1          21|2|1|6|1/14days|100|2|
4-* Dataline Scanner Lv 2          21|2|2|6|2/14days|200|2|
4-* Dataline Scanner Lv 3          21|2|3|6|3/14days|300|2|
4-* Dataline Scanner Lv 4          21|2|4|6|4/14days|400|2|
4-* Dataline Scanner Lv 5          21|2|5|6|5/14days|500|2|
4-* Dataline Scanner Lv 6          21|2|6|6|6/14days|600|2|
4-* Dataline Scanner Lv 7          21|2|7|6|7/14days|700|2|
4-* Dataline Scanner Lv 8          21|2|8|6|8/14days|800|2|
4-* Dataline Scanner Lv 9          21|2|9|6|9/14days|900|2|
4-* Dataline Scanner Lv 10         21|2|10|6|10/14days|1000|2|
3-Jammer
4-* Jammer Lv 1                    10|2|5|1/72hrs|1000|1.5|
4-* Jammer Lv 2                    10|2|5|2/72hrs|2000|1.5|
4-* Jammer Lv 3                    10|2|5|3/72hrs|3000|1.5|
4-* Jammer Lv 4                    10|2|5|4/72hrs|4000|1.5|
4-* Jammer Lv 5                    10|2|5|5/72hrs|5000|1.5|
4-* Jammer Lv 6                    10|2|5|6/72hrs|6000|1.5|
4-* Jammer Lv 7                    10|2|5|7/72hrs|7000|1.5|
4-* Jammer Lv 8                    10|2|5|8/72hrs|8000|1.5|
4-* Jammer Lv 9                    10|2|5|9/72hrs|9000|1.5|
4-* Jammer Lv 10                   10|2|5|10/72hrs|10000|1.5|
4-* PanicButton Jammer             10|-|-|8/48hrs|200|1|
4-* Portacom Jammer                10|-|-|4/24hrs|20|1|
4-* Radio Jammer                   10|-|-|-|5/36hrs|100|1|
3-Lie detectors
4-* Arasaka R-101 Lie Detector     21|2|6|3|14/20days|5000|4|
3-Voice Mask
4-* Voice Mask Lv 1                10|6|-|1/72hrs|3000|1.5|
4-* Voice Mask Lv 2                10|6|-|2/72hrs|6000|1.5|
4-* Voice Mask Lv 3                10|6|-|3/72hrs|9000|1.5|
4-* Voice Mask Lv 4                10|6|-|4/72hrs|12000|1.5|
4-* Voice Mask Lv 5                10|6|-|5/72hrs|15000|1.5|
4-* Voice Mask Lv 6                10|6|-|6/72hrs|18000|1.5|
4-* Voice Mask Lv 7                10|6|-|7/72hrs|21000|1.5|
4-* Voice Mask Lv 8                10|6|-|8/72hrs|24000|1.5|
4-* Voice Mask Lv 9                10|6|-|9/72hrs|27000|1.5|
4-* Voice Mask Lv 10               10|6|-|10/72hrs|30000|1.5|
3-White Noise Generator
4-* White Noise Generator Lv 1     21|3|1|1|1/72hrs|1500|1.5|
4-* White Noise Generator Lv 2     21|3|2|1|2/72hrs|3000|1.5|
4-* White Noise Generator Lv 3     21|3|3|1|3/72hrs|4500|1.5|
4-* White Noise Generator Lv 4     21|3|4|1|4/72hrs|6000|1.5|
4-* White Noise Generator Lv 5     21|3|5|1|5/72hrs|7500|1.5|
4-* White Noise Generator Lv 6     21|3|6|1|6/72hrs|9000|1.5|
4-* White Noise Generator Lv 7     21|3|7|1|7/72hrs|10500|1.5|
4-* White Noise Generator Lv 8     21|3|8|1|8/72hrs|12000|1.5|
4-* White Noise Generator Lv 9     21|3|9|1|9/72hrs|13500|1.5|
4-* White Noise Generator Lv 10    21|3|10|1|10/72hrs|15000|1.5|
3-Window trembler
4-* BRL-3014 Window Trembler 1     21|9|1|2/4days|120|2.5|
4-* BRL-3014 Window Trembler 2     21|9|2|3/4days|240|2.5|
4-* BRL-3014 Window Trembler 3     21|9|3|4/4days|360|2.5|
4-* BRL-3014 Window Trembler 4     21|9|4|5/4days|480|2.5|
4-* BRL-3014 Window Trembler 5     21|9|5|6/4days|600|2.5|
4-* BRL-3014 Window Trembler 6     21|9|6|7/4days|720|2.5|
4-* BRL-3014 Window Trembler 7     21|9|7|8/4days|840|2.5|
4-* BRL-3014 Window Trembler 8     21|9|8|9/4days|960|2.5|
4-* BRL-3014 Window Trembler 9     21|9|9|10/4days|1080|2.5|
4-* BRL-3014 Window Trembler 10    21|9|10|11/4days|1200|2.5|
2-Security devices
3-ID Scanner: Thumbprint
4-* ID Scanner: Thumbprint Lv 1    10|-|-|1/72hrs|200|1|
4-* ID Scanner: Thumbprint Lv 2    10|-|-|2/72hrs|400|1|
4-* ID Scanner: Thumbprint Lv 3    10|-|-|3/72hrs|600|1|
4-* ID Scanner: Thumbprint Lv 4    10|-|-|4/72hrs|800|1|
4-* ID Scanner: Thumbprint Lv 5    10|-|-|5/72hrs|1000|1|
4-* ID Scanner: Thumbprint Lv 6    10|-|-|6/72hrs|1200|1|
4-* ID Scanner: Thumbprint Lv 7    10|-|-|7/72hrs|1400|1|
4-* ID Scanner: Thumbprint Lv 8    10|-|-|8/72hrs|1600|1|
4-* ID Scanner: Thumbprint Lv 9    10|-|-|9/72hrs|1800|1|
4-* ID Scanner: Thumbprint Lv 10   10|-|-|10/72hrs|2000|1|
3-ID Scanner: Palmprint
4-* ID Scanner: Palmprint Lv 1     10|-|-|2/72hrs|300|2|
4-* ID Scanner: Palmprint Lv 2     10|-|-|3/72hrs|600|2|
4-* ID Scanner: Palmprint Lv 3     10|-|-|4/72hrs|900|2|
4-* ID Scanner: Palmprint Lv 4     10|-|-|5/72hrs|1200|2|
4-* ID Scanner: Palmprint Lv 5     10|-|-|6/72hrs|1500|2|
4-* ID Scanner: Palmprint Lv 6     10|-|-|7/72hrs|1800|2|
4-* ID Scanner: Palmprint Lv 7     10|-|-|8/72hrs|2100|2|
4-* ID Scanner: Palmprint Lv 8     10|-|-|9/72hrs|2400|2|
4-* ID Scanner: Palmprint Lv 9     10|-|-|10/72hrs|2700|2|
4-* ID Scanner: Palmprint Lv 10    10|-|-|11/72hrs|3000|2|
3-ID Scanner: Retinal
4-* ID Scanner: Retinal Lv 1       10|-|-|3/72hrs|1000|3|
4-* ID Scanner: Retinal Lv 2       10|-|-|4/72hrs|2000|3|
4-* ID Scanner: Retinal Lv 3       10|-|-|5/72hrs|3000|3|
4-* ID Scanner: Retinal Lv 4       10|-|-|6/72hrs|4000|3|
4-* ID Scanner: Retinal Lv 5       10|-|-|7/72hrs|5000|3|
4-* ID Scanner: Retinal Lv 6       10|-|-|8/72hrs|6000|3|
4-* ID Scanner: Retinal Lv 7       10|-|-|9/72hrs|7000|3|
4-* ID Scanner: Retinal Lv 8       10|-|-|10/72hrs|8000|3|
4-* ID Scanner: Retinal Lv 9       10|-|-|11/72hrs|9000|3|
4-* ID Scanner: Retinal Lv 10      10|-|-|12/72hrs|10000|3|
3-Maglocks (before Corporate Security Handbook)
4-* Maglock Lvl 1                  21|-|1|-|2/72hrs|100|1|
4-* Maglock Lvl 2                  21|-|2|-|2/72hrs|200|1|
4-* Maglock Lvl 3                  21|-|3|-|3/72hrs|300|1|
4-* Maglock Lvl 4                  21|-|4|-|4/72hrs|400|1|
4-* Maglock Lvl 5                  21|-|5|-|5/72hrs|500|1|
4-* Maglock Lvl 6                  21|-|6|-|6/72hrs|600|1|
4-* Maglock Lvl 7                  21|-|7|-|7/72hrs|700|1|
4-* Maglock Lvl 8                  21|-|8|-|8/72hrs|800|1|
4-* Maglock Lvl 9                  21|-|9|-|9/72hrs|900|1|
4-* Maglock Lvl 10                 21|-|10|-|10/72hrs|1000|1|
3-Maglocks (after Corporate Security Handbook)
4-* Type I Maglock (rating 1)      21|-|1|-|2/2days|75|.75|
4-* Type I Maglock (rating 2)      21|-|2|-|2/2days|150|.75|
4-* Type I Maglock (rating 3)      21|-|3|-|3/2days|225|.75|
4-* Type II Maglock (rating 4)     21|-|4|-|4/3days|400|1|
4-* Type II Maglock (rating 5)     21|-|5|-|5/3days|500|1|
4-* Type II Maglock (rating 6)     21|-|6|-|6/3days|600|1|
4-* Type III Maglock (rating 7)    21|-|7|-|7/3.5days|1050|1.25|
4-* Type III Maglock (rating 8)    21|-|8|-|8/3.5days|1200|1.25|
4-* Type III Maglock (rating 9)    21|-|9|-|9/3.5days|1350|1.25|
4-* Type IV Maglock (rating 10)    21|-|10|-|10/4days|2500|1.5|
4-* Type III Biometric Maglock (7) 21|-|7|-|7/5days|2450|2|
4-* Type III Biometric Maglock (8) 21|-|8|-|8/5days|2800|2|
4-* Type III Biometric Maglock (9) 21|-|9|-|9/5days|3150|2|
4-* Type IV Biometric Maglock (10) 21|-|10|-|10/5days|3500|2|
4-* SecSystems Maglock             21|3|3|1|4/72hrs|300|1|
4-* Smartlock Door Sec. System 1   21|-|1|-|5/72hrs|250|1.5|
4-* Smartlock Door Sec. System 2   21|-|2|-|5/72hrs|500|1.5|
4-* Smartlock Door Sec. System 3   21|-|3|-|5/72hrs|750|1.5|
4-* Smartlock Door Sec. System 4   21|-|4|-|5/72hrs|1000|1.5|
4-* Smartlock Door Sec. System 5   21|-|5|-|5/72hrs|1250|1.5|
4-* Smartlock Door Sec. System 6   21|-|6|-|5/72hrs|1500|1.5|
4-* Smartlock Door Sec. System 7   21|-|7|-|5/72hrs|1750|1.5|
4-* Smartlock Door Sec. System 8   21|-|8|-|5/72hrs|2000|1.5|
3-PanicButton
4-* PANICBUTTON Hook-Up            10|-|-|Call Lone Star|1000|1|
3-Weapon and cyberware scanners
4-* Scanway Chem/Explosives detec. 21|-|5|-|9/7days|350000|1|
4-* Scanway Cyberware detector     21|-|5|-|8/7days|50000|1|
4-* Scanway Weapon Detector        21|-|5|-|6/7days|25000|1|
4-* Scanway Large screen           21|-|-|-|as detector|500|1|
4-* Scanman Full Identity Scanner  21|4|5|2.5|14/14days|21000|5|
4-* SecSystems Detection Wand      21|4|2|.5|2/12hrs|10000|1|
3-Maglock removal equipment
4-* Advanced Alarm Removal Kit     10|2|3|8/12hrs|2900|5|
4-* Keypad Sequencer Level 1       21|-|1|.5|2/10days|500|1|
4-* Keypad Sequencer Level 2       21|-|2|.5|2/10days|2000|1|
4-* Keypad Sequencer Level 3       21|-|3|.5|2/10days|4500|1|
4-* Keypad Sequencer Level 4       21|-|4|.5|2/10days|8000|1|
4-* Keypad Sequencer Level 5       21|-|5|.5|2/10days|12500|1|
4-* Keypad Sequencer Level 6       21|-|6|.5|3/10days|18000|1|
4-* Maglock Passkey Lvl 1          21|-|1|1|2/10days|10000|3|
4-* Maglock Passkey Lvl 2          21|-|2|1|4/10days|20000|3|
4-* Maglock Passkey Lvl 3          21|-|3|1|6/10days|30000|3|
4-* Maglock Passkey Lvl 4          21|-|4|1|8/10days|40000|3|
4-* Maglock Passkey Lvl 5          21|-|5|1|10/10days|50000|3|
4-* Maglock Passkey Lvl 6          21|-|6|1|12/10days|60000|3|
4-* Maglock Passkey Lvl 7          21|-|7|1|14/10days|70000|3|
4-* Maglock Passkey Lvl 8          21|-|8|1|16/10days|80000|3|
4-* Maglock Passkey Lvl 9          21|-|9|1|18/10days|90000|3|
4-* Maglock Passkey Lvl 10         21|-|10|1|20/10days|100000|3|
3-Restraints
4-* Restraints, Metal              21|3|12|.5|4/48hrs|50|1|
4-* Restraints, Plastic            21|3|15|-|4/48hrs|20|1|
4-* Restraints, Squealer           21|4|-|-|6/72hrs|100|2|
4-* SecSystems Detention Collar    14|4|.5|8/10days|260|3|
2-Global positioning system
3-* Global Positioning System      10|8|-|.5|6/48hrs|700|1|
2-Other security-related equipment
3-* ANQ 3/22 Remote Seismic Sensor 21|4|3|1|6/48hrs|1000|2.5|
3-* Arasaka Omnitec Radar Detector 21|7|4|1|4/72hrs|2000|1.5|
3-* ID badgemaker                  21|3|3|1|5/48hrs|500|2|
3-* Laser Detector Lvl 1           21|6|1|.3|8/72hrs|5000|1.5|
3-* Laser Detector Lvl 2           21|6|2|.3|8/72hrs|10000|1.5|
3-* Laser Detector Lvl 3           21|6|3|.3|8/72hrs|15000|1.5|
3-* Laser Detector Lvl 4           21|6|4|.3|8/72hrs|20000|1.5|
3-* Laser Detector Lvl 5           21|6|5|.3|8/72hrs|25000|1.5|
3-* Laser Detector Lvl 6           21|6|6|.3|8/72hrs|30000|1.5|
3-* LaserTrack Aerosol             10|-|-|4/24hrs|50|1|
4-* Linozap                        10|5|.75|6/4 days|350|2|
4-* M-0116 Tripwire Sensor         21|6|1|-|3/24hrs|20|1|
4-* Magnetic Anomaly Detector Lv 1 21|3|1|1|8/4days|5000|1|
4-* Magnetic Anomaly Detector Lv 2 21|3|2|1|8/4days|10000|1|
4-* Magnetic Anomaly Detector Lv 3 21|3|3|1|8/4days|15000|1|
4-* Magnetic Anomaly Detector Lv 4 21|3|4|1|8/4days|20000|1|
4-* MS1803 Panoramic Motion Sensor 21|2|5|2.5|8/48hrs|1000|2|
4-* Personal Body Alarm            10|-|-|on payment|varies|-|
4-* Portable Motion Detector Lvl 1 21|-|1|2|4/24hrs|200|1.25|
4-* Portable Motion Detector Lvl 2 21|-|2|2|4/24hrs|400|1.25|
4-* Portable Motion Detector Lvl 3 21|-|3|2|4/24hrs|600|1.25|
4-* Portable Motion Detector Lvl 4 21|-|4|2|4/24hrs|800|1.25|
4-* Portable Motion Detector Lvl 5 21|-|5|2|4/24hrs|1000|1.25|
4-* Retinal Pattern Duplicator 1   21|3|1|1|14/10days|60000|1|
4-* Retinal Pattern Duplicator 2   21|3|2|1|14/10days|120000|1|
4-* Retinal Pattern Duplicator 3   21|3|3|1|14/10days|180000|1|
4-* Retinal Pattern Duplicator 4   21|3|4|1|14/10days|240000|1|
4-* Retinal Pattern Duplicator 5   21|3|5|1|14/10days|300000|1|
4-* Retinal Pattern Duplicator 6   21|3|6|1|14/10days|360000|1|
4-* Retinal Pattern Duplicator 7   21|3|7|1|14/10days|420000|1|
4-* Retinal Pattern Duplicator 8   21|3|8|1|14/10days|480000|1|
4-* Retinal Pattern Duplicator 9   21|3|9|1|14/10days|540000|1|
4-* Retinal Pattern Duplicator 10  21|3|10|1|14/10days|600000|1|
4-* Retinal Pattern Input Dev. 1   21|4|1|.5|10/6days|1000|4|
4-* Retinal Pattern Input Dev. 2   21|4|2|.5|10/6days|2000|4|
4-* Retinal Pattern Input Dev. 3   21|4|3|.5|10/6days|3000|4|
4-* Retinal Pattern Input Dev. 4   21|4|4|.5|10/6days|4000|4|
4-* Retinal Pattern Input Dev. 5   21|4|5|.5|10/6days|5000|4|
4-* Retinal Pattern Input Dev. 6   21|4|6|.5|10/6days|6000|4|
4-* Retinal Pattern Input Dev. 7   21|4|7|.5|10/6days|7000|4|
4-* Retinal Pattern Input Dev. 8   21|4|8|.5|10/6days|8000|4|
4-* Retinal Pattern Input Dev. 9   21|4|9|.5|10/6days|9000|4|
4-* S91KA Remote Heat Sensor       21|4|8|.5|4/48hrs|2000|1.5|
4-* See Through Paper Spray        10|-|-|always|15|1|
4-* Sonar Scanner                  21|4|3|.2|5/48hrs|50|1.2|
4-* Superball Lvl 1 (per meter)    21|-|1|-|2/48hrs|50|3|
4-* Superball Lvl 2 (per meter)    21|-|2|-|4/48hrs|100|3|
4-* Superball Lvl 3 (per meter)    21|-|3|-|6/48hrs|150|3|
4-* Superball Lvl 4 (per meter)    21|-|4|-|8/48hrs|200|3|
4-* Superball Lvl 5 (per meter)    21|-|5|-|10/48hrs|250|3|
4-* Superball Lvl 6 (per meter)    21|-|6|-|12/48hrs|300|3|
4-* Superball Lvl 7 (per meter)    21|-|7|-|14/48hrs|350|3|
4-* Superball Lvl 8 (per meter)    21|-|8|-|16/48hrs|400|3|
4-* Superball Lvl 9 (per meter)    21|-|9|-|18/48hrs|450|3|
4-* Superball Lvl 10 (per meter)   21|-|10|-|20/48hrs|500|3|
4-* Surveillance Kit               10|-|6.5|6/5days|98000|2|
4-* Synthetic Print Duplication    10|-|-|4/12hrs|500|1|
4-* Print Duplication Supplies 1   21|-|1|-|4/12hrs|200|1|
4-* Print Duplication Supplies 2   21|-|2|-|4/12hrs|400|1|
4-* Print Duplication Supplies 3   21|-|3|-|4/12hrs|600|1|
4-* Print Duplication Supplies 4   21|-|4|-|4/12hrs|800|1|
4-* ThunderArc Automapper          10|7|.5|6/48hrs|600|1|
4-* Ultrasound Detector/Distorter  10|8|.2|8/48hrs|1500|1.5|
4-* U-Open-It Rating 1             21|2|1|5|6/48hrs|75|2|
4-* U-Open-It Rating 2             21|2|1|5|6/48hrs|150|2|
4-* U-Open-It Rating 3             21|2|1|5|6/48hrs|225|2|
4-* U-Open-It Rating 4             21|2|1|5|6/48hrs|300|2|
4-* U-Open-It Rating 5             21|2|1|5|6/48hrs|375|2|
4-* Linear Beam Commlink           10|-|-|6/72hrs|2000|2.5|
!
1-Survival gear
2-General
3-* Micro Flare Launcher           3|3|1(b)|SS|(Micro flare)|2|5/48hrs|50|1.5|None|
3-* Micro Flares                   5|-|6M|-|5/36hrs|75|1|
2-Chemical protection
3-* Chemsuit Lv 1                  10|-|1|1/1days|200|1|
3-* Chemsuit Lv 2                  10|-|1|2/2days|400|1|
3-* Chemsuit Lv 3                  10|-|1|3/3days|600|1|
3-* Chemsuit Lv 4                  10|-|1|4/4days|800|1|
3-* Chemsuit Lv 5                  10|-|1|5/5days|1000|1|
3-* Chemsuit Lv 6                  10|-|1|6/6days|1200|1|
3-* Chemsuit Lv 7                  10|-|1|7/7days|1400|1|
3-* Chemsuit Lv 8                  10|-|1|8/8days|1600|1|
3-* Chemsuit Lv 9                  10|-|1|9/9days|1800|1|
3-* Chemsuit Lv 10                 10|-|1|10/10days|2000|1|
3-* Pressure Regulator             10|-|.5|6/48hrs|250|2|
3-* Ration Bars (10 Days)          10|-|1|2/48hrs|30|1|
3-* Respirator                     10|-|1|4/48hrs|500|2|
3-* Survival Kit                   10|-|2|2/48hrs|100|1|
2-Climbing Gear
3-* Ascent/Descent Harness         10|-|.25|always|75|1|
3-* Ascent/Descent Kit             10|-|2|always|250|1|
3-* Everest Grapple Line           10|-|3|always|240|1|
3-* Grapple Gun                    10|7|2.25|always|450|1|
3-* Normal Line (100 meters)       10|-|2|always|50|1|
3-* Rappelling Gear                10|-|5|always|250|1|
3-* Rappelling Gloves              10|-|-|always|70|1|
